# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-3.939581,8,2.729544
-0.576969,11,2.729589
-4.162889,6,2.733674
-2.658761,4,2.735782
-5.039933,6,2.735951
-10.159366,11,2.735965
-2.742836,7,2.737824
-5.902581,5,2.740053
-1.092096,6,2.741976
-3.882238,5,2.744106
-8.623736,5,2.746212
-1.690625,5,2.748156
-0.86842,4,2.74822
-2.77007,2,2.748486
-3.92403,7,2.750471
-3.633852,6,2.754557
-4.086902,6,2.758703
-2.350613,4,2.758923
-1.938376,4,2.762903
-7.615328,7,2.76291
-19.79341,17,2.76494
-1.786237,10,2.768921
-0.041191,10,2.768939
-7.612003,5,2.768961
-4.239924,3,2.769016
5.675697,17,2.771148
-6.473477,5,2.77312
-0.15625,7,2.773183
-2.200598,4,2.773264
-4.024733,5,2.779332
-2.606661,5,2.779392
-6.313689,5,2.779545
-2.856381,6,2.781596
-2.151285,6,2.783661
-3.90591,3,2.785666
-3.539769,7,2.787765
-1.801601,4,2.789584
-1.516388,3,2.789842
-7.642925,8,2.790085
-5.494034,6,2.792135
-7.527966,9,2.79219
-4.163524,7,2.794432
-0.853769,4,2.796537
-3.36174,6,2.798472
-3.474853,3,2.798527
-0.800161,3,2.798582
-4.454526,4,2.798797
-2.20088,5,2.80087
-3.70359,6,2.802658
-2.83127,2,2.802936
-1.108895,5,2.804951
-5.62362,6,2.809081
-2.221278,5,2.809118
-3.24809,5,2.813032
-4.147599,3,2.815284
-4.701882,7,2.817139
-5.972572,8,2.817496
-2.650126,7,2.819495
-2.764004,2,2.819588
-2.117164,11,2.821557
-2.258021,6,2.821625
-6.433306,11,2.821716
-5.112641,6,2.825836
-5.417892,4,2.826029
-3.848881,3,2.82788
-2.977137,3,2.827971
0.905073,6,2.830046
-6.663369,5,2.830085
-1.310844,3,2.83235
-5.947267,6,2.832363
-2.275599,5,2.836462
-2.695813,3,2.836474
1.91379,9,2.840406
-2.920089,6,2.84236
-2.621365,3,2.842556
-2.77304,2,2.844484
-2.853234,6,2.844485
0.6424,8,2.844852
-6.914157,7,2.8471
-4.768003,10,2.848934
-2.954349,4,2.853104
-3.832008,6,2.855096
-10.103283,9,2.855249
-3.084638,7,2.858911
-4.922232,7,2.859014
-5.945778,8,2.85918
-2.785862,3,2.859246
-4.587124,7,2.861306
-1.882986,4,2.863596
-2.354402,3,2.865541
-1.646403,4,2.867684
1.427026,6,2.867702
-3.81968,5,2.869632
-3.586928,3,2.869898
-2.95246,4,2.869955
-5.951642,11,2.872041
-0.023752,8,2.876875
