# {"t_start": 1587022198.6629272, "env_id": "DartHopperPT-v1"} 
r,l,t
0.435846,9,9.004568
9.900345,10,9.014138
-0.080001,9,9.021624
0.258794,6,9.027079
17.176949,18,9.042107
-1.644456,5,9.046694
-1.453318,8,9.05372
-2.289659,4,9.057103
-1.288329,5,9.06181
-2.812716,5,9.065835
0.35107,5,9.07052
0.07498,8,9.077426
5.107519,10,9.086393
-0.957882,6,9.091962
4.579255,10,9.100655
2.660219,11,9.110133
0.218741,8,9.11709
0.155035,6,9.122593
6.854154,12,9.132459
2.821057,8,9.139415
2.929995,7,9.145544
1.866218,7,9.151466
4.635525,8,9.158623
-2.681507,5,9.162978
0.537789,4,9.166759
20.041389,21,9.184753
8.546097,11,9.195411
-1.860026,4,9.19927
0.503752,5,9.204227
-2.529164,3,9.206875
-0.017857,7,9.213107
1.536595,6,9.218971
